prime: prime 
minister: ministers minister 
silvio: silvio 
berlusconi: berlusconi 
counted: counted 
among: among 
son: son sons 
heir: heir 
apparent: apparent 
seif: seif 
islam: islam 
mixed: mixed 
london: london 
high: high 
society: society 
critic: critics 
newfound: newfound 
friendship: friendship 
based: based 
access: access 
nation: nations 
eased: eased 
sanction: sanctions 
worked: worked 
lucrative: lucrative 
contract: contracts 
operate: operate 
influx: influx 
money: money 
made: made 
even: even 
wealthier: wealthier 
disparity: disparity 
mass: masses 
ever: ever 
downfall: downfall 
happened: happened 
le: less 
january: january 
tunisian: tunisian 
revolution: revolution 
forced: forced 
longtime: longtime 
zine: zine 
abidine: abidine 
ben: ben 
ali: ali 
set: set 
hosni: hosni 
mubarak: mubarak 
providing: providing 
morale: morale 
boost: boost 
protester: protesters 
despite: despite 
atmosphere: atmosphere 
severe: severe 
repression: repression 
demonstration: demonstrations 
broke: broke 
spread: spread 
throughout: throughout 
used: used 
aggressive: aggressive 
try: try 
suppress: suppress 
protest: protests 
violence: violence 
quickly: quickly 
escalated: escalated 
police: police 
mercenary: mercenaries 
brought: brought 
shoot: shoot 
helicopter: helicopters 
sent: sent 
bombard: bombard 
citizen: citizens 
air: air 
casualty: casualties 
mounted: mounted 
determined: determined 
see: see 
ouster: ouster 
rambling: rambling 
speech: speeches 
television: television 
claiming: claiming 
demonstrator: demonstrators 
traitor: traitors 
foreigner: foreigners 
qaeda: qaeda 
drug: drug 
addict: addicts 
urged: urged 
supporter: supporters 
continue: continue 
fight: fight 
heavily: heavily 
loyalist: loyalists 
battled: battled 
rebel: rebels rebel 
end: end 
opposition: opposition 
formed: formed 
governing: governing 
national: national 
transitional: transitional 
surrounded: surrounded 
still: still 
expressed: expressed 
ntc: ntc 
march: march 
coalition: coalition 
provide: provide 
form: form 
airstrikes: airstrikes 
fly: fly 
zone: zone 
intervention: intervention 
six: six 
proved: proved 
decisive: decisive 
april: april 
attack: attacks attack 
fell: fell 
late: late 
august: august 
seen: seen 
major: major 
victory: victory 
symbolic: symbolic 
criminal: criminal 
court: court 
issued: issued 
warrant: warrants 
arrest: arrest 
brother: brother 
humanity: humanity 
july: july 
recognized: recognized 
legitimate: legitimate 
lost: lost 
whereabouts: whereabouts 
unknown: unknown 
official: officials 
announced: announced 
died: died 
report: reports 
conflicting: conflicting 
account: accounts 
stating: stating 
gun: gun 
others: others 
targeted: targeted 
aerial: aerial 
circulated: circulated 
bloodied: bloodied 
dragged: dragged 
fighter: fighters 
large: large 
hiding: hiding 
part: part 
pocket: pockets 
news: news 
former: former 
poured: poured 
street: streets 
celebrating: celebrating 
hailed: hailed 
culmination: culmination 
post: post 
continued: continued 
embroiled: embroiled 
authority: authority 
eventually: eventually 
held: held 
general: general 
congress: congress 
various: various 
militia: militia 
vied: vied 
dozen: dozens 
figure: figures 
activist: activists 
leave: leave 
area: area 
succession: succession 
interim: interim 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
