ray: ray 
url: url 
access: access 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
april: april 
original: original 
published: published 
receive: receive 
shaped: shaped 
sign: sign 
person: person 
vaughan: vaughan 
preeminent: preeminent 
bluesman: bluesman 
winning: winning 
guitarist: guitarist 
singer: singer 
sugar: sugar 
considered: considered 
greatest: greatest 
boxer: boxer boxers 
held: held 
welterweight: welterweight 
win: win 
divisional: divisional 
championship: championship 
five: five 
coltrane: coltrane 
acclaimed: acclaimed 
american: american 
saxophonist: saxophonist 
bandleader: bandleader 
composer: composer 
becoming: becoming 
iconic: iconic 
figure: figure figures 
th: th 
century: century 
giant: giant 
step: steps 
favorite: favorite 
thing: things 
supreme: supreme 
bradbury: bradbury 
fantasy: fantasy 
horror: horror 
best: best 
novel: novels 
fahrenheit: fahrenheit 
illustrated: illustrated 
man: man 
martian: martian 
chronicle: chronicles 
ella: ella 
fitzgerald: fitzgerald 
lady: lady 
immensely: immensely 
popular: popular 
vocalist: vocalist 
interpreted: interpreted 
great: great 
songbook: songbook 
kroc: kroc 
entrepreneur: entrepreneur 
expanding: expanding 
mcdonald: mcdonald 
local: local 
chain: chain 
profitable: profitable 
restaurant: restaurant 
franchise: franchise 
former: former 
child: child 
prodigy: prodigy 
cherie: cherie 
amour: amour 
sunshine: sunshine 
superstition: superstition 
primarily: primarily 
photography: photography 
spanned: spanned 
dada: dada 
surrealism: surrealism 
movement: movements 
charlie: charlie 
parker: parker 
dizzy: dizzy 
gillespie: gillespie 
invented: invented 
bop: bop 
bebop: bebop 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
