perl: perl 
php: php 
prolog: prolog 
r: r 
ruby: ruby 
rust: rust 
sql: sql 
shell: shell 
simula: simula 
smalltalk: smalltalk 
swift: swift 
category: categories category 
alphabetical: alphabetical 
categorical: categorical 
generational: generational 
non: non 
english: english 
massively: massively 
cloud: cloud 
multiprocessing: multiprocessing 
manycore: manycore 
processor: processor 
gpgpu: gpgpu 
network: network 
systolic: systolic 
array: arrays array 
bit: bit 
instruction: instruction 
thread: thread threads 
memory: memory 
loop: loop 
pipeline: pipeline 
multithreading: multithreading 
temporal: temporal 
simultaneous: simultaneous 
smt: smt 
speculative: speculative 
spmt: spmt 
preemptive: preemptive 
cooperative: cooperative 
clustered: clustered 
cmt: cmt 
hardware: hardware 
scout: scout 
theory: theory 
pram: pram 
pem: pem 
analysis: analysis 
algorithm: algorithm algorithms 
amdahl: amdahl 
law: law 
gustafson: gustafson 
cost: cost 
efficiency: efficiency 
karp: karp 
flatt: flatt 
metric: metric 
slowdown: slowdown 
speedup: speedup 
element: elements 
process: process 
fiber: fiber 
coordination: coordination 
coherency: coherency 
cache: cache 
invalidation: invalidation 
barrier: barrier 
application: application 
checkpointing: checkpointing 
stream: stream 
dataflow: dataflow 
implicit: implicit 
explicit: explicit 
concurrency: concurrency 
blocking: blocking 
flynn: flynn 
taxonomy: taxonomy 
sisd: sisd 
simd: simd 
simt: simt 
pipelined: pipelined 
associative: associative 
misd: misd 
mimd: mimd 
architecture: architecture 
superscalar: superscalar 
vector: vector 
multiprocessor: multiprocessor 
symmetric: symmetric 
asymmetric: asymmetric 
shared: shared 
uma: uma 
numa: numa 
coma: coma 
cluster: cluster 
grid: grid 
acceleration: acceleration 
apis: apis 
ateji: ateji 
boost: boost 
hpx: hpx 
charm: charm 
cilk: cilk 
cuda: cuda 
dryad: dryad 
amp: amp 
gpuopen: gpuopen 
opencl: opencl 
openhmpp: openhmpp 
openacc: openacc 
pvm: pvm 
rocm: rocm 
upc: upc 
tbb: tbb 
problem: problems 
automatic: automatic 
parallelization: parallelization 
deadlock: deadlock 
deterministic: deterministic 
embarrassingly: embarrassingly 
race: race 
condition: condition 
lockout: lockout 
scalability: scalability 
starvation: starvation 
numerical: numerical 
advanced: advanced 
simulation: simulation 
library: library 
admb: admb 
euler: euler 
freefem: freefem 
freemat: freemat 
genius: genius 
gmsh: gmsh 
gnu: gnu 
octave: octave 
gretl: gretl 
julia: julia 
jupyter: jupyter 
ju: ju 
lia: lia 
pyt: pyt 
hon: hon 
ipython: ipython 
mfem: mfem 
openfoam: openfoam 
sagemath: sagemath 
salome: salome 
scicoslab: scicoslab 
scilab: scilab 
weka: weka 
proprietary: proprietary 
dadisp: dadisp 
featool: featool 
multiphysics: multiphysics 
gauss: gauss 
labview: labview 
maple: maple 
mathcad: mathcad 
mathematica: mathematica 
speakeasy: speakeasy 
vissim: vissim 
newpp: newpp 
limit: limit 
report: report 
parsed: parsed 
cached: cached 
time: time 
expiry: expiry 
reduced: reduced 
false: false 
complication: complications 
vary: vary 
revision: revision 
sha: sha 
cpu: cpu 
usage: usage 
second: seconds 
real: real 
preprocessor: preprocessor 
visited: visited 
node: node 
count: count 
post: post 
expand: expand 
include: include 
byte: bytes 
template: template 
argument: argument 
highest: highest 
expansion: expansion 
depth: depth 
expensive: expensive 
function: function 
unstrip: unstrip 
recursion: recursion 
number: number 
wikibase: wikibase 
entity: entities 
loaded: loaded 
transclusion: transclusion 
m: ms 
call: calls 
total: total 
web: web 
short: short 
description: description 
simple: simple 
saved: saved 
key: key 
enwiki: enwiki 
pcache: pcache 
idhash: idhash 
canonical: canonical 
timestamp: timestamp 
serialized: serialized 
json: json 
oldid: oldid 
family: family 
concurrent: concurrent 
created: created 
article: articles 
different: different 
wikidata: wikidata 
menu: menu 
