public: public 
domain: domain 
dataplot: dataplot 
epi: epi 
info: info 
cspro: cspro 
arima: arima 
open: open 
source: source 
admb: admb 
dap: dap 
gretl: gretl 
jasp: jasp 
jag: jags 
jmulti: jmulti 
julia: julia 
jupyter: jupyter 
ju: ju 
lia: lia 
py: py 
thon: thon 
gnu: gnu 
octave: octave 
openbugs: openbugs 
orange: orange 
pspp: pspp 
python: python 
statsmodels: statsmodels 
pymc: pymc 
ipython: ipython 
idle: idle 
rstudio: rstudio 
sagemath: sagemath 
simfit: simfit 
sofa: sofa 
stan: stan 
xlispstat: xlispstat 
freeware: freeware 
bv: bv 
cumfreq: cumfreq 
segreg: segreg 
xplore: xplore 
winbugs: winbugs 
commercial: commercial 
cross: cross 
platform: platform 
desk: desk 
gauss: gauss 
graphpad: graphpad 
instat: instat 
prism: prism 
spss: spss 
modeler: modeler 
jmp: jmp 
maple: maple 
mathcad: mathcad 
mathematica: mathematica 
matlab: matlab 
oxmetrics: oxmetrics 
rat: rats 
revolution: revolution 
analytics: analytics 
sa: sas 
smartpls: smartpls 
stata: stata 
statview: statview 
sudaan: sudaan 
plus: plus 
tsp: tsp 
world: world 
programming: programming 
wps: wps 
bmdp: bmdp 
eviews: eviews 
genstat: genstat 
limdep: limdep 
lisrel: lisrel 
medcalc: medcalc 
microfit: microfit 
mlwin: mlwin 
nc: ncss 
shazam: shazam 
sigmastat: sigmastat 
statistica: statistica 
statsdirect: statsdirect 
statxact: statxact 
systat: systat 
unscrambler: unscrambler 
unistat: unistat 
excel: excel 
add: add 
ons: ons 
analyse: analyse 
xlfit: xlfit 
rexcel: rexcel 
category: categories category 
borough: borough 
metropolitan: metropolitan 
area: area 
harris: harris 
patton: patton 
ferguson: ferguson 
centre: centre 
county: county 
happy: happy 
valley: valley 
dubois: dubois 
csa: csa 
education: education 
park: park 
campus: campus 
school: school 
district: district 
high: high 
schlow: schlow 
region: region 
library: library 
culture: culture 
art: arts 
theatre: theatre 
central: central 
festival: festival 
industry: industry 
accuweather: accuweather 
transportation: transportation 
airport: airport 
authority: authority 
sport: sports 
spike: spikes 
medlar: medlar 
field: field 
lubrano: lubrano 
shopping: shopping 
nittany: nittany 
mall: mall 
colonnade: colonnade 
newspaper: newspapers 
daily: daily 
collegian: collegian 
time: time times 
television: television 
wpsu: wpsu 
tv: tv 
pb: pbs 
create: create 
kid: kids 
nbc: nbc 
metv: metv 
comet: comet 
cw: cw 
wwcp: wwcp 
fox: fox 
abc: abc 
grio: grio 
ant: ant 
wtaj: wtaj 
cbs: cbs 
mystery: mystery 
laff: laff 
grit: grit 
watm: watm 
cozi: cozi 
wkbs: wkbs 
cor: cor 
court: court 
bounce: bounce 
ion: ion 
dabl: dabl 
defy: defy 
truereal: truereal 
newsy: newsy 
faith: faith 
family: family 
radio: radio 
dv: dv 
bb: bb 
bz: bz 
dk: dk 
ez: ez 
waly: waly 
wapy: wapy 
wbhv: wbhv 
fm: fm 
wblf: wblf 
wbus: wbus 
wcob: wcob 
wfge: wfge 
wkpa: wkpa 
wkps: wkps 
wlej: wlej 
wmaj: wmaj 
wowy: wowy 
wphb: wphb 
hd: hd 
wqck: wqck 
wqwk: wqwk 
wrsc: wrsc 
wrxv: wrxv 
wryv: wryv 
wtlr: wtlr 
wwot: wwot 
wxm: wxm 
wzww: wzww 
fire: fire 
mount: mount 
medical: medical 
newpp: newpp 
limit: limit 
report: report 
parsed: parsed 
cached: cached 
cache: cache 
expiry: expiry 
reduced: reduced 
false: false 
complication: complications 
vary: vary 
revision: revision 
sha: sha 
cpu: cpu 
usage: usage 
second: seconds 
real: real 
preprocessor: preprocessor 
visited: visited 
node: node 
count: count 
post: post 
expand: expand 
include: include 
byte: bytes 
argument: argument 
highest: highest 
depth: depth 
expensive: expensive 
function: function 
unstrip: unstrip 
recursion: recursion 
lua: lua 
memory: memory 
number: number 
wikibase: wikibase 
entity: entities 
loaded: loaded 
transclusion: transclusion 
m: ms 
call: calls 
total: total 
short: short 
description: description 
simple: simple 
footnote: footnotes 
saved: saved 
